WB_Code,Year,Population,GDP,GDP_per_capita
UGA,2004,27154515.0,7939487547.77384,292.38185796262
UGA,2005,27963289.0,9239221763.05793,330.405402707025
UGA,2006,28794003.0,9977647682.96954,346.518255310647
UGA,2007,29653430.0,11902564494.8833,401.389130865581
UGA,2008,30539553.0,14440404132.2047,472.842681495852
UGA,2009,31451151.0,25127805566.6584,798.947089938247
UGA,2010,32390802.0,26673441430.7857,823.488144282
UGA,2011,33354543.0,27871725241.4723,835.620060555838
UGA,2012,34337438.0,27305915910.7877,795.222867553127
UGA,2013,35337042.0,28915786516.6123,818.285427416713
UGA,2014,36395539.0,32612397257.4458,896.054795546394
UGA,2015,37531446.0,32387183730.1002,862.934610355811
UGA,2016,38799152.0,29203988696.2626,752.696571725656
UGA,2017,40177388.0,30744473841.424,765.218332297361
UGA,2018,41565831.0,32927025619.6795,792.16570022814
UGA,2019,42999637.0,35353061003.4359,822.171150036357
UGA,2020,44457152.0,37600368241.6657,845.766463890124
UGA,2021,45910930.0,40529788748.6737,882.791717542504
