Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2020,CAY,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,CGO,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,CHA,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,CHI,0,0,0,0,57,0,0,0,0,0,0,0,0
2020,CHN,38,32,19,89,418,119,52,45,37,145,58,49,38
2020,CIV,0,0,1,1,31,1,0,0,1,1,0,0,1
2020,CMR,0,0,0,0,12,0,0,0,0,0,0,0,0
2020,COD,0,0,0,0,7,0,0,0,0,0,0,0,0
2020,COK,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,COL,0,4,1,5,68,5,0,4,1,5,0,4,1
2020,COM,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,CPV,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,CRC,0,0,0,0,14,0,0,0,0,0,0,0,0
2020,CRO,3,3,2,8,60,11,5,4,2,11,5,4,2
2020,CUB,7,3,5,15,69,16,8,3,5,16,8,3,5
2020,CYP,0,0,0,0,15,0,0,0,0,0,0,0,0
2020,CZE,4,4,3,11,114,13,5,4,4,13,5,4,4
2020,DEN,3,4,4,11,108,30,4,23,4,32,4,23,5
2020,DJI,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,DMA,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,DOM,0,3,2,5,65,31,0,6,25,32,0,7,25
2020,ECU,2,1,0,3,47,3,2,1,0,3,2,1,0
2020,EGY,1,1,4,6,141,6,1,1,4,6,1,1,4
2020,EOR,0,0,0,0,29,0,0,0,0,0,0,0,0
2020,ERI,0,0,0,0,13,0,0,0,0,0,0,0,0
2020,ESA,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,ESP,3,8,6,17,334,70,4,44,22,70,4,44,22
2020,EST,1,0,1,2,33,4,4,0,1,5,4,0,1
2020,ETH,1,1,2,4,36,4,1,1,2,4,1,1,2
2020,FIJ,1,0,1,2,32,26,13,0,13,26,13,0,13
2020,FIN,0,0,2,2,45,2,0,0,2,2,0,0,2
2020,FRA,10,12,11,33,393,131,64,42,31,138,65,42,31
